state,district,loksabha_constituency,house_name,mp_type,mp_name,implementing_agency_name,work_id,work_name,work_description,work_category,sanction_date,sanction_amount,units,status,image_status
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,Cuttack MC,WS/CUT157/2023/01712,High-Mast LED Street Lighting System across 8 junctions in Main Bazaar,High-Mast LED Street Lighting System across 8 junctions in Main Bazaar. Approved under MPLADS scheme guidelines. Phase 2 execution.,Public Infrastructure & Community Halls,12-11-2023,322741,sanction_amount in Rupees,Administrative Sanction Accorded,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,CUTTACK MUNICIPAL CORPORATION,WS/CUT804/2023/01713,Overhead Drinking Water Reservoir & Distribution Line at Outer Ring Road,Overhead Drinking Water Reservoir & Distribution Line at Outer Ring Road. Approved under MPLADS scheme guidelines. Phase 3 execution.,Water Supply & Sanitation,19-11-2023,285630,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,Cuttack MC,WS/CUT627/2023/01714,Widening & Culvert Reconstruction at Sector 4 Junction,Widening & Culvert Reconstruction at Sector 4 Junction. Approved under MPLADS scheme guidelines. Phase 1 execution.,Roads & Bridges,28-12-2023,392760,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,Cuttack MC,WS/CUT499/2023/01715,Bituminous Road Overhaul between Village Govt School Campus and Main Highway,Bituminous Road Overhaul between Village Govt School Campus and Main Highway. Approved under MPLADS scheme guidelines. Phase 2 execution.,Roads & Bridges,11-12-2023,236758,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,Cuttack Municipal Corporation,WS/CUT447/2024/01716,Community Public Sanitation Block with Bio-Digester at Shiv Mandir Chowk,Community Public Sanitation Block with Bio-Digester at Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,26-01-2024,1134792,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,Cuttack  Municipal  Corporation,WS/CUT394/2024/01717,Desilting and Renovation of Village Water Pond at Outer Ring Road,Desilting and Renovation of Village Water Pond at Outer Ring Road. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,28-02-2024,252030,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,Cuttack Municipal Corporation,WS/CUT692/2024/01718,High-Mast LED Street Lighting System across 8 junctions in Gram Panchayat Office,High-Mast LED Street Lighting System across 8 junctions in Gram Panchayat Office. Approved under MPLADS scheme guidelines. Phase 2 execution.,Public Infrastructure & Community Halls,03-02-2024,239251,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,cuttack municipal corporation,WS/CUT914/2024/01719,Construction of Multi-purpose Community Kalyan Mandap at Govt School Campus,Construction of Multi-purpose Community Kalyan Mandap at Govt School Campus. Approved under MPLADS scheme guidelines. Phase 3 execution.,Public Infrastructure & Community Halls,14-02-2024,204174,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,cuttack municipal corporation,WS/CUT511/2024/01720,High-Mast LED Street Lighting System across 8 junctions in Outer Ring Road,High-Mast LED Street Lighting System across 8 junctions in Outer Ring Road. Approved under MPLADS scheme guidelines. Phase 4 execution.,Public Infrastructure & Community Halls,11-02-2024,150000,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,Cuttack Municipal Corporation,WS/CUT860/2024/01721,Emergency Interlock Tile Pavement near Govt School Campus,Emergency Interlock Tile Pavement near Govt School Campus. Approved under MPLADS scheme guidelines. Phase 1 execution.,Roads & Bridges,22-03-2024,473966,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,Cuttack  Municipal  Corporation,WS/CUT473/2024/01722,Procurement of Advance Life Support Ambulance for Sub-district Hospital Kalyan Puram,Procurement of Advance Life Support Ambulance for Sub-district Hospital Kalyan Puram. Approved under MPLADS scheme guidelines. Phase 2 execution.,Health & Education,02-03-2024,561231,sanction_amount in Rupees,Work Completed,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT987/2022/01723,Addition of Two Classrooms and Laboratory Block at Govt High School Sector 4,Addition of Two Classrooms and Laboratory Block at Govt High School Sector 4. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,11-01-2022,1300019,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO  Salepur,WS/CUT612/2022/01724,Procurement of Advance Life Support Ambulance for Sub-district Hospital Canal Bridge,Procurement of Advance Life Support Ambulance for Sub-district Hospital Canal Bridge. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,04-01-2022,2311956,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO  Salepur,WS/CUT499/2022/01725,Installation of Solar Powered Submersible Tube Wells at Railway Station Road,Installation of Solar Powered Submersible Tube Wells at Railway Station Road. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,27-03-2022,1749931,sanction_amount in Rupees,Administrative Sanction Accorded,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT983/2022/01726,Installation of Solar Powered Submersible Tube Wells at Canal Bridge,Installation of Solar Powered Submersible Tube Wells at Canal Bridge. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,15-04-2022,1116097,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,bdpo salepur,WS/CUT533/2022/01727,Procurement of Advance Life Support Ambulance for Sub-district Hospital Railway Station Road,Procurement of Advance Life Support Ambulance for Sub-district Hospital Railway Station Road. Approved under MPLADS scheme guidelines. Phase 2 execution.,Health & Education,04-04-2022,1250229,sanction_amount in Rupees,Work Completed,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT720/2022/01728,High-Mast LED Street Lighting System across 8 junctions in Kalyan Puram,High-Mast LED Street Lighting System across 8 junctions in Kalyan Puram. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,01-05-2022,1165022,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT817/2022/01729,Community Public Sanitation Block with Bio-Digester at Primary Health Centre,Community Public Sanitation Block with Bio-Digester at Primary Health Centre. Approved under MPLADS scheme guidelines. Phase 2 execution.,Water Supply & Sanitation,10-05-2022,1240354,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO SALEPUR,WS/CUT942/2022/01730,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Sector 4,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Sector 4. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,10-06-2022,899320,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT885/2022/01731,Overhead Drinking Water Reservoir & Distribution Line at Shiv Mandir Chowk,Overhead Drinking Water Reservoir & Distribution Line at Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 2 execution.,Water Supply & Sanitation,11-06-2022,904606,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,bdpo salepur,WS/CUT532/2022/01732,Bituminous Road Overhaul between Village Shiv Mandir Chowk and Main Highway,Bituminous Road Overhaul between Village Shiv Mandir Chowk and Main Highway. Approved under MPLADS scheme guidelines. Phase 1 execution.,Roads & Bridges,27-07-2022,720765,sanction_amount in Rupees,Financial Sanction Approved,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT855/2022/01733,Construction of Multi-purpose Community Kalyan Mandap at Railway Station Road,Construction of Multi-purpose Community Kalyan Mandap at Railway Station Road. Approved under MPLADS scheme guidelines. Phase 2 execution.,Public Infrastructure & Community Halls,24-07-2022,819937,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT910/2022/01734,Construction of CC Road from Outer Ring Road to Outer Ring Road,Construction of CC Road from Outer Ring Road to Outer Ring Road. Approved under MPLADS scheme guidelines. Phase 3 execution.,Roads & Bridges,06-07-2022,620393,sanction_amount in Rupees,Administrative Sanction Accorded,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,bdpo salepur,WS/CUT830/2022/01735,Public Library and Reading Room Building at Govt School Campus,Public Library and Reading Room Building at Govt School Campus. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,06-08-2022,428148,sanction_amount in Rupees,Administrative Sanction Accorded,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT366/2022/01736,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Shiv Mandir Chowk,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 2 execution.,Health & Education,28-08-2022,629118,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT684/2022/01737,Bituminous Road Overhaul between Village Railway Station Road and Main Highway,Bituminous Road Overhaul between Village Railway Station Road and Main Highway. Approved under MPLADS scheme guidelines. Phase 1 execution.,Roads & Bridges,13-09-2022,1174008,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,bdpo salepur,WS/CUT972/2022/01738,Emergency Interlock Tile Pavement near Main Bazaar,Emergency Interlock Tile Pavement near Main Bazaar. Approved under MPLADS scheme guidelines. Phase 2 execution.,Roads & Bridges,07-09-2022,1001423,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO SALEPUR,WS/CUT835/2022/01739,Erection of Open Gymnasium and Youth Sports Complex at Main Bazaar,Erection of Open Gymnasium and Youth Sports Complex at Main Bazaar. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,19-10-2022,327391,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,bdpo salepur,WS/CUT982/2022/01740,Procurement of Advance Life Support Ambulance for Sub-district Hospital Shiv Mandir Chowk,Procurement of Advance Life Support Ambulance for Sub-district Hospital Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 2 execution.,Health & Education,23-10-2022,341642,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT943/2022/01741,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Canal Bridge,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Canal Bridge. Approved under MPLADS scheme guidelines. Phase 3 execution.,Health & Education,07-10-2022,507278,sanction_amount in Rupees,Work Completed,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,bdpo salepur,WS/CUT368/2022/01742,Addition of Two Classrooms and Laboratory Block at Govt High School Ward 12,Addition of Two Classrooms and Laboratory Block at Govt High School Ward 12. Approved under MPLADS scheme guidelines. Phase 4 execution.,Health & Education,01-10-2022,439662,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,bdpo salepur,WS/CUT809/2022/01743,Addition of Two Classrooms and Laboratory Block at Govt High School Sector 4,Addition of Two Classrooms and Laboratory Block at Govt High School Sector 4. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,28-12-2022,612750,sanction_amount in Rupees,Work Completed,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO SALEPUR,WS/CUT670/2022/01744,Procurement of Advance Life Support Ambulance for Sub-district Hospital Ward 12,Procurement of Advance Life Support Ambulance for Sub-district Hospital Ward 12. Approved under MPLADS scheme guidelines. Phase 2 execution.,Health & Education,09-12-2022,856015,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT921/2022/01745,Erection of Open Gymnasium and Youth Sports Complex at Shiv Mandir Chowk,Erection of Open Gymnasium and Youth Sports Complex at Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 3 execution.,Public Infrastructure & Community Halls,20-12-2022,858009,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO SALEPUR,WS/CUT283/2023/01746,High-Mast LED Street Lighting System across 8 junctions in Outer Ring Road,High-Mast LED Street Lighting System across 8 junctions in Outer Ring Road. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,18-05-2023,220247,sanction_amount in Rupees,Work Completed,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT543/2023/01747,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Shiv Mandir Chowk,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 2 execution.,Health & Education,11-05-2023,209082,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT387/2023/01748,Widening & Culvert Reconstruction at Sector 4 Junction,Widening & Culvert Reconstruction at Sector 4 Junction. Approved under MPLADS scheme guidelines. Phase 3 execution.,Roads & Bridges,28-05-2023,316447,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT370/2023/01749,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Bus Stand,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Bus Stand. Approved under MPLADS scheme guidelines. Phase 4 execution.,Health & Education,27-05-2023,314698,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT550/2023/01750,High-Mast LED Street Lighting System across 8 junctions in Canal Bridge,High-Mast LED Street Lighting System across 8 junctions in Canal Bridge. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,22-06-2023,1029896,sanction_amount in Rupees,Financial Sanction Approved,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT267/2023/01751,Installation of Solar Powered Submersible Tube Wells at Gram Panchayat Office,Installation of Solar Powered Submersible Tube Wells at Gram Panchayat Office. Approved under MPLADS scheme guidelines. Phase 2 execution.,Water Supply & Sanitation,02-06-2023,634851,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT215/2023/01752,Bituminous Road Overhaul between Village Railway Station Road and Main Highway,Bituminous Road Overhaul between Village Railway Station Road and Main Highway. Approved under MPLADS scheme guidelines. Phase 1 execution.,Roads & Bridges,16-07-2023,438515,sanction_amount in Rupees,Administrative Sanction Accorded,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO SALEPUR,WS/CUT272/2023/01753,Widening & Culvert Reconstruction at Main Bazaar Junction,Widening & Culvert Reconstruction at Main Bazaar Junction. Approved under MPLADS scheme guidelines. Phase 2 execution.,Roads & Bridges,10-07-2023,519077,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT352/2023/01754,Installation of Solar Powered Submersible Tube Wells at Primary Health Centre,Installation of Solar Powered Submersible Tube Wells at Primary Health Centre. Approved under MPLADS scheme guidelines. Phase 3 execution.,Water Supply & Sanitation,14-07-2023,338826,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO SALEPUR,WS/CUT482/2023/01755,Construction of Multi-purpose Community Kalyan Mandap at Bus Stand,Construction of Multi-purpose Community Kalyan Mandap at Bus Stand. Approved under MPLADS scheme guidelines. Phase 4 execution.,Public Infrastructure & Community Halls,22-07-2023,369247,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT375/2023/01756,Construction of CC Road from Shiv Mandir Chowk to Kalyan Puram,Construction of CC Road from Shiv Mandir Chowk to Kalyan Puram. Approved under MPLADS scheme guidelines. Phase 1 execution.,Roads & Bridges,15-08-2023,1282966,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,bdpo salepur,WS/CUT849/2023/01757,Construction of Multi-purpose Community Kalyan Mandap at Outer Ring Road,Construction of Multi-purpose Community Kalyan Mandap at Outer Ring Road. Approved under MPLADS scheme guidelines. Phase 2 execution.,Public Infrastructure & Community Halls,15-08-2023,945040,sanction_amount in Rupees,Administrative Sanction Accorded,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO  Salepur,WS/CUT716/2023/01758,Public Library and Reading Room Building at Sector 4,Public Library and Reading Room Building at Sector 4. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,03-09-2023,1349692,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO SALEPUR,WS/CUT898/2023/01759,Desilting and Renovation of Village Water Pond at Main Bazaar,Desilting and Renovation of Village Water Pond at Main Bazaar. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,07-10-2023,1011395,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT925/2023/01760,Installation of Solar Powered Submersible Tube Wells at Bus Stand,Installation of Solar Powered Submersible Tube Wells at Bus Stand. Approved under MPLADS scheme guidelines. Phase 2 execution.,Water Supply & Sanitation,26-10-2023,601523,sanction_amount in Rupees,Work Completed,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT676/2023/01761,Erection of Open Gymnasium and Youth Sports Complex at Shiv Mandir Chowk,Erection of Open Gymnasium and Youth Sports Complex at Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,13-12-2023,1557021,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO SALEPUR,WS/CUT449/2024/01762,Erection of Open Gymnasium and Youth Sports Complex at Ward 12,Erection of Open Gymnasium and Youth Sports Complex at Ward 12. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,03-02-2024,318109,sanction_amount in Rupees,Work Completed,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO SALEPUR,WS/CUT579/2024/01763,Desilting and Renovation of Village Water Pond at Primary Health Centre,Desilting and Renovation of Village Water Pond at Primary Health Centre. Approved under MPLADS scheme guidelines. Phase 2 execution.,Water Supply & Sanitation,17-02-2024,376098,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,bdpo salepur,WS/CUT537/2024/01764,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Canal Bridge,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Canal Bridge. Approved under MPLADS scheme guidelines. Phase 3 execution.,Health & Education,27-02-2024,285182,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO Salepur,WS/CUT196/2024/01765,Construction of CC Road from Primary Health Centre to Main Bazaar,Construction of CC Road from Primary Health Centre to Main Bazaar. Approved under MPLADS scheme guidelines. Phase 4 execution.,Roads & Bridges,17-02-2024,200225,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,BDPO SALEPUR,WS/CUT286/2024/01766,Construction of CC Road from Kalyan Puram to Outer Ring Road,Construction of CC Road from Kalyan Puram to Outer Ring Road. Approved under MPLADS scheme guidelines. Phase 1 execution.,Roads & Bridges,15-03-2024,1551986,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,Executive Engineer Drainage Div Cuttack,WS/CUT718/2022/01767,Public Library and Reading Room Building at Canal Bridge,Public Library and Reading Room Building at Canal Bridge. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,03-11-2022,454435,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,EXECUTIVE ENGINEER DRAINAGE DIV CUTTACK,WS/CUT771/2022/01768,Procurement of Advance Life Support Ambulance for Sub-district Hospital Sector 4,Procurement of Advance Life Support Ambulance for Sub-district Hospital Sector 4. Approved under MPLADS scheme guidelines. Phase 2 execution.,Health & Education,04-11-2022,564455,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,Executive Engineer Drainage Div Cuttack,WS/CUT731/2022/01769,Procurement of Advance Life Support Ambulance for Sub-district Hospital Kalyan Puram,Procurement of Advance Life Support Ambulance for Sub-district Hospital Kalyan Puram. Approved under MPLADS scheme guidelines. Phase 3 execution.,Health & Education,10-11-2022,612578,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,EXECUTIVE ENGINEER DRAINAGE DIV CUTTACK,WS/CUT935/2022/01770,Construction of Multi-purpose Community Kalyan Mandap at Canal Bridge,Construction of Multi-purpose Community Kalyan Mandap at Canal Bridge. Approved under MPLADS scheme guidelines. Phase 4 execution.,Public Infrastructure & Community Halls,01-11-2022,410797,sanction_amount in Rupees,Financial Sanction Approved,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,Executive Engineer Drainage Div Cuttack,WS/CUT978/2023/01771,Procurement of Advance Life Support Ambulance for Sub-district Hospital Canal Bridge,Procurement of Advance Life Support Ambulance for Sub-district Hospital Canal Bridge. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,14-07-2023,1207973,sanction_amount in Rupees,Administrative Sanction Accorded,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,EE Drainage Div Cuttack,WS/CUT219/2023/01772,Widening & Culvert Reconstruction at Shiv Mandir Chowk Junction,Widening & Culvert Reconstruction at Shiv Mandir Chowk Junction. Approved under MPLADS scheme guidelines. Phase 2 execution.,Roads & Bridges,16-07-2023,1519026,sanction_amount in Rupees,Financial Sanction Approved,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,Tangi Choudwar Panchayat Samiti,WS/CUT761/2022/01773,High-Mast LED Street Lighting System across 8 junctions in Shiv Mandir Chowk,High-Mast LED Street Lighting System across 8 junctions in Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,16-01-2022,1542332,sanction_amount in Rupees,Work Completed,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,tangi choudwar panchayat samiti,WS/CUT337/2022/01774,Community Public Sanitation Block with Bio-Digester at Kalyan Puram,Community Public Sanitation Block with Bio-Digester at Kalyan Puram. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,16-01-2022,2094617,sanction_amount in Rupees,Administrative Sanction Accorded,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,Tangi Choudwar Panchayat Samiti,WS/CUT953/2022/01775,Addition of Two Classrooms and Laboratory Block at Govt High School Bus Stand,Addition of Two Classrooms and Laboratory Block at Govt High School Bus Stand. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,13-04-2022,824621,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,Tangi Choudwar Panchayat Samiti,WS/CUT783/2022/01776,Addition of Two Classrooms and Laboratory Block at Govt High School Govt School Campus,Addition of Two Classrooms and Laboratory Block at Govt High School Govt School Campus. Approved under MPLADS scheme guidelines. Phase 2 execution.,Health & Education,23-04-2022,599739,sanction_amount in Rupees,Work Completed,No
Odisha,Cuttack,Cuttack,17th Lok Sabha,Lok Sabha MP,Bhartruhari Mahtab,TANGI CHOUDWAR PANCHAYAT SAMITI,WS/CUT525/2022/01777,Overhead Drinking Water Reservoir & Distribution Line at Canal Bridge,Overhead Drinking Water Reservoir & Distribution Line at Canal Bridge. Approved under MPLADS scheme guidelines. Phase 3 execution.,Water Supply & Sanitation,16-04-2022,511291,sanction_amount in Rupees,Work Completed,Yes
