mp_name,constituency,lok_sabha_term,entitlement_cr,fund_received_cr,amount_available_cr,works_recommended_cost_cr,works_sanctioned_cost_cr,actual_expenditure_cr,utilization_pct,unspent_balance_cr
Seyed Tufail Hasan,Moradabad,17th,17.0,12.0,12.1812,13.2769,11.4823,10.5166,85.638333,1.6646
Niranjan Jyoti,Fatehpur,17th,17.0,9.5,9.9032,9.9554,9.688,8.2224,84.551579,1.6808
Upendra Singh Rawat,Barabanki(Sc),17th,19.5,12.0,15.2909,14.5424,14.5424,12.7299,104.0825,2.561
Anurag Sharma,Jhansi,17th,17.0,7.0,10.6201,9.9127,9.9054,8.351,118.401429,2.2691
Rita Bahuguna Joshi,Allahabad,17th,17.0,9.5,11.4925,17.1176,10.3673,8.611,88.642105,2.8815
Bhanu Pratap Singh Verma,Jalaun(Sc),17th,24.5,14.5,15.2568,14.9009,14.9009,13.9693,94.34,1.2875
Rajnath Singh,Lucknow,17th,17.0,12.0,13.2695,12.4543,12.4543,10.8395,88.329167,2.43
Ashok Kumar Rawat,Misrikh(Sc),17th,17.0,9.5,9.7241,11.4589,8.9345,7.6902,78.949474,2.0339
Maneka Sanjay Gandhi,Sultanpur,17th,17.0,9.5,11.0235,11.0037,11.0037,8.3786,86.195789,2.6449
Sanjeev Kumar Balyan,Muzaffarnagar,17th,17.0,12.0,12.699,13.6689,12.6228,10.4346,86.955,2.2644
Vinod Kumar Sonkar,Kaushambi(Sc),17th,17.0,12.0,12.1113,12.2698,11.8418,10.654,88.783333,1.4573
Pankaj Chowdhary,Maharajganj,17th,17.0,9.5,9.6051,9.4259,9.4259,9.2045,95.015789,0.4006
Rekha Arun Verma,Dhaurahra,17th,17.0,12.0,12.6037,13.0376,12.2365,12.1052,98.876667,0.4985
Sangam Lal Gupta,Pratapgarh,17th,17.0,9.5,10.8724,10.474,10.474,8.6213,90.750526,2.2511
Afzal Ansari,Ghazipur,17th,17.0,9.5,10.7964,10.2868,9.8363,8.5901,88.422105,2.2063
Hema Malini,Mathura,17th,17.0,7.0,8.5317,18.1762,18.1762,10.3921,146.458571,-1.8604
Subrata Pathak,Kannauj,17th,17.0,9.5,11.4365,12.7062,10.8219,9.4754,97.741053,1.9611
Vijay Kumar Dubey,Kushi Nagar,17th,17.0,12.0,12.3355,12.7406,11.7564,10.9654,89.378333,1.3701
Devendra Alias Bhole Singh,Akbarpur,17th,17.0,9.5,10.0877,9.6763,9.6763,8.1319,83.598947,1.9558
Ram Shiromani,Shrawasti,17th,17.0,5.0,6.1276,5.453,5.453,4.5329,88.658,1.5947
R.K. Singh Patel,Banda,17th,17.0,9.5,10.2349,10.05,9.8804,9.4007,96.954737,0.8342
Ravindra Kushawaha,Salempur,17th,17.0,7.0,8.4689,9.8581,8.1211,6.8342,95.631429,1.6347
Shyam Yadav Singh,Jaunpur,17th,17.0,7.0,8.2928,7.9696,7.9696,5.7353,79.932857,2.5575
General Dr.Vijay Kumar Singh Retd.,Ghaziabad,17th,17.0,9.5,11.2857,20.0241,11.3428,7.4674,78.604211,3.8183
Brijbhushan Sharan Singh,Kaiserganj,17th,19.5,12.0,12.6553,12.0674,12.0674,12.3074,100.561667,0.3479
Ghanshyam Singh Lodhi,Rampur,17th,14.5,9.5,10.1243,9.8419,9.8419,8.1784,84.088421,1.9459
Ramapati Ram Tripathi,Deoria,17th,17.0,9.5,9.7914,9.1749,9.1749,9.0693,93.466316,0.7221
Malook Nagar,Bijnor,17th,17.0,7.0,7.6397,6.5799,6.5499,4.7571,65.958571,2.8826
Praveen Kumar Nishad,Sant Kabir Nagar,17th,17.0,7.0,8.482,9.0174,7.3836,5.9777,83.395714,2.5043
Ajay (Teni) Misra,Kheri,17th,17.0,12.0,12.3222,12.1064,12.068,12.1858,99.548333,0.1364
Atul Kumar Singh,Ghosi,17th,17.0,7.0,7.4101,10.3638,6.5194,6.0787,84.838571,1.3314
Mukesh Rajput,Farrukhabad,17th,17.0,9.5,11.3104,11.6294,11.0623,10.6707,110.323158,0.6397
Kaushal Kishore,Mohanlalganj(Sc),17th,17.0,12.0,12.9023,12.7131,12.7131,10.9701,90.584167,1.9322
Mahendra Nath Pandey,Chandauli,17th,17.0,9.5,9.6836,8.7986,8.7986,8.7986,92.616842,0.885
Lallu Singh,Faizabad,17th,17.0,9.5,10.4043,10.0263,10.0263,10.1711,105.064211,0.2332
Ritesh Pandey,Ambedkar Nagar,17th,17.0,9.5,9.6854,9.4594,9.4594,7.2573,74.392632,2.4281
Sangeeta Azad,Lalganj (Sc),17th,17.0,12.0,12.2038,15.7525,11.7705,11.01,89.75,1.1938
Swami Sachchidanandhari Sakshi Ji Maharaj,Unnao,17th,24.5,14.5,15.1209,14.7682,14.7682,12.5793,84.753793,2.5416
Ramesh Chand Bind,Bhadohi,17th,17.0,9.5,10.6232,10.0439,9.574,9.229,95.147368,1.3942
Ravindra Shyamnarayan Alias Ravi Kishan Shukla,Gorakhpur,17th,17.0,9.5,9.7406,9.5354,9.5354,7.2058,75.703158,2.5348
Pradeep Kumar Chaudhary,Kairana,17th,17.0,9.5,10.5968,10.9457,10.3966,9.9816,103.069474,0.6152
Dr. Ram Shankar Katheria,Etawah(Sc),17th,17.0,9.5,9.6799,8.6414,8.6414,7.9087,81.670526,1.7712
Pushpendra Singh Chandel,Hamirpur,17th,24.5,14.5,15.1447,16.22,15.0931,14.1972,97.742759,0.9475
Jagdambika Pal,Domariyaganj,17th,17.0,7.0,7.4767,7.8136,6.5125,5.4838,76.34,1.9929
Kirti Vardhan Singh,Gonda,17th,22.0,12.0,13.7708,12.82,12.82,12.8823,105.3525,0.8885
Akshaibar Lal,Bahraich(Sc),17th,29.5,19.5,20.0749,27.1958,19.6174,17.1794,86.099487,2.8955
Arun Kumar Sagar,Shahjahanpur(Sc),17th,17.0,9.5,9.9879,9.9869,9.9869,9.9869,105.125263,0.001
Tirath Singh Rawat,Garhwal,17th,17.0,7.0,7.2545,7.8439,6.2743,4.3682,61.688571,2.8863
Ramesh Pokhriyal Nishank,Hardwar,17th,17.0,7.0,7.2074,7.3848,7.3848,5.25,73.0,1.9574
Ajay Tamta,Almora(Sc),17th,17.0,9.5,9.5879,9.3918,9.3918,7.8476,80.606316,1.7403
Mala Rajya Laxmi Shah,Tehri Garhwal,17th,17.0,9.5,10.7843,10.0651,9.9946,9.3587,98.512632,1.4256
Ajay Bhatt,Nainital Udham Singh Nag.,17th,17.0,7.0,7.0647,8.0202,7.0,7.0471,98.672857,0.0176
S.S. Ahluwalia,Bardhaman-Durgapur,17th,17.0,2.5,2.8,9.268,2.5502,0.0633,0.532,2.7367
Sisir Kumar Adhikari,Kanthi,17th,17.0,7.0,7.8952,12.7469,7.3832,6.9299,96.998571,0.9653
Sunil Kumar Mondal,Bardhaman Purba(Sc),17th,17.0,7.0,7.2278,11.8005,7.3009,4.9469,68.67,2.2809
Babul Supriyo-Ex,Asansol,17th,17.0,5.0,5.0352,4.3283,1.7772,0.488,8.76,4.5472
Pratima Mondal,Joynagar(Sc),17th,17.0,9.5,10.6326,13.3092,13.3092,9.1131,93.927368,1.5195
Shatrughan Sinha,Asansol,17th,10.0,2.5,5.6008,11.6447,4.7175,3.3828,133.312,2.218
Choudhury Mohan Jatua,Mathurapur(Sc),17th,17.0,9.5,10.0221,11.6662,11.6662,8.7528,90.134737,1.2693
(Smt.) Kakoli Ghosh Dastidar,Barasat,17th,17.0,9.5,9.6695,10.6795,9.4668,5.5367,56.281053,4.1328
Sajda Ahmed,Uluberia,17th,17.0,9.5,10.0303,11.5727,9.9279,9.5925,98.973684,0.4378
Sudip Bandyopadhyay,Kolkata Uttar,17th,17.0,7.0,7.2388,12.3182,10.4326,4.4411,61.444286,2.7977
Arjun Singh,Barrackpur,17th,17.0,7.0,7.3836,14.1487,8.3665,4.4654,61.791429,2.9182
Kunar Hembram,Jhargram(St),17th,17.0,9.5,14.4353,21.4238,13.6428,13.8074,143.341053,0.6279
John Barla,Alipurduars(St),17th,17.0,7.0,7.182,6.4757,6.4757,5.6775,80.392857,1.5045
Khalilur Rahaman,Jangipur,17th,27.0,7.0,7.2018,7.1457,7.0991,5.5403,77.147143,1.6615
Kalyan Banerjee,Sreerampur,17th,17.0,9.5,10.4611,10.7619,10.2541,7.4808,76.745263,2.9803
Debasree Chaudhuri,Raiganj,17th,17.0,12.0,12.2828,14.2933,11.9921,12.2008,99.673333,0.082
Mahua Moitra,Krishnanagar,17th,17.0,12.0,12.1567,12.691,12.534,10.3939,84.615833,1.7628
Jayanta Kumar Roy,Jalpaiguri(Sc),17th,17.0,5.0,5.0284,9.1951,4.0293,2.2394,42.788,2.789
Abhishek Banerjee,Diamond Harbour,17th,17.0,9.5,10.6542,15.727,15.727,9.4653,97.634737,1.1889
Saumitra Khan,Bishnupur(Sc),17th,17.0,7.0,7.2143,7.1111,6.9486,6.3855,89.221429,0.8288
Sukanta Majumdar,Balurghat,17th,17.0,9.5,9.8726,11.0291,8.7008,7.231,74.115789,2.6416
Mala Roy,Kolkata Dakshin,17th,17.0,9.5,9.7069,12.7624,9.7865,6.8733,70.350526,2.8336
Mimi Chakraborty,Jadavpur,17th,17.0,9.5,10.1359,12.8921,12.8921,9.4536,97.511579,0.6823
Raju Bista,Darjeeling,17th,17.0,7.0,7.2867,14.1627,6.8311,6.3969,89.384286,0.8898
Asit Kumar Mal,Bolpur(Sc),17th,17.0,9.5,12.6022,14.867,11.7409,11.5551,119.632632,1.0471
Adhir Ranjan Chowdhury,Baharampur,17th,29.5,7.0,7.7872,7.2384,7.0217,4.8102,66.717143,2.977
Jyotirmay Singh Mahato,Purulia,17th,17.0,5.0,5.3218,5.8901,5.1715,2.338,46.006,2.9838
Dilip Ghosh,Medinipur,17th,17.0,7.0,7.5027,9.1304,7.3365,6.7637,94.624286,0.739
Prasun Banerjee,Howrah,17th,17.0,7.0,7.8537,8.0354,7.713,6.9851,97.787143,0.8686
Dibyendu Adhikari,Tamluk,17th,17.0,7.0,7.5542,7.6525,7.0243,6.2146,86.78,1.3396
Deepak (Dev) Adhikari,Ghatal,17th,17.0,7.0,7.1854,10.7507,7.4205,6.3594,88.848571,0.826
Nusrat Jahan Ruhi,Basirhat,17th,17.0,9.5,9.8242,10.0896,8.8454,7.6629,78.662105,2.1613
Jagannath Sarkar,Ranaghat(Sc),17th,17.0,9.5,9.7323,10.3367,9.0983,6.76,69.157895,2.9723
Nisith Pramanik,Coochbehar(Sc),17th,17.0,9.5,10.202,15.2345,9.2911,7.5074,77.025263,2.6946
Abu Taher Khan,Murshidabad,17th,29.5,7.0,7.1904,7.0708,6.2432,4.2775,59.107143,2.9129
Khagen Murmu,Maldaha Uttar,17th,17.0,7.0,7.2796,6.9903,6.7377,4.76,66.0,2.5196
Aparupa Poddar,Arambag(Sc),17th,17.0,9.5,10.1555,11.2881,9.9326,7.1563,73.329474,2.9992
Subhas Sarkar,Bankura,17th,17.0,5.0,5.2831,5.0826,5.0826,2.8607,55.214,2.4224
Abu Hasem Khan Choudhury,Maldaha Dakshin,17th,24.5,9.5,9.908,9.2265,8.7482,7.1721,73.495789,2.7359
Shantanu Thakur,Bangaon(Sc),17th,17.0,7.0,7.6644,13.202,7.0318,4.7257,65.51,2.9387
Saugata Roy,Dum Dum,17th,17.0,9.5,9.699,11.1225,9.0978,7.2783,74.613684,2.4207
Locket Chatterjee,Hooghly,17th,17.0,7.0,7.8585,11.0256,7.6118,4.9208,68.297143,2.9377
Satabdi Roy (Banerjee),Birbhum,17th,17.0,9.5,9.7191,9.3884,9.2823,8.8777,91.449474,0.8414
